Sample	TE_Superfamily	Total_bp	Genome_Fraction_pct
Ptritici_repentis_Pt1CBF	TE_00001713//////17	12351	0.03
Ptritici_repentis_Pt1CBF	TE_00001714//////14	2462	0.01
Ptritici_repentis_Pt1CBF	TE_00001715//////25	5495	0.01
Ptritici_repentis_Pt1CBF	TE_00001716//////132	51147	0.14
Ptritici_repentis_Pt1CBF	TE_00001717//////21	5586	0.01
Ptritici_repentis_Pt1CBF	TE_00001718//////13	25254	0.07
Ptritici_repentis_Pt1CBF	TE_00001719//////12	3354	0.01
Ptritici_repentis_Pt1CBF	TE_00001720//////8	6585	0.02
Ptritici_repentis_Pt1CBF	TE_00001721//////20	29475	0.08
Ptritici_repentis_Pt1CBF	TE_00001722//////12	2500	0.01
Ptritici_repentis_Pt1CBF	TE_00001723//////130	238799	0.64
Ptritici_repentis_Pt1CBF	TE_00001724//////8	5678	0.02
Ptritici_repentis_Pt1CBF	TE_00001725//////9	11532	0.03
Ptritici_repentis_Pt1CBF	TE_00001726//////11	3043	0.01
Ptritici_repentis_Pt1CBF	TE_00001727//////21	13140	0.04
Ptritici_repentis_Pt1CBF	TE_00001728//////70	61423	0.16
Ptritici_repentis_Pt1CBF	TE_00001729//////23	2803	0.01
Ptritici_repentis_Pt1CBF	TE_00001730//////16	39574	0.11
Ptritici_repentis_Pt1CBF	TE_00001731//////11	2254	0.01
Ptritici_repentis_Pt1CBF	TE_00001732//////10	3019	0.01
Ptritici_repentis_Pt1CBF	TE_00001733//////174	214913	0.58
Ptritici_repentis_Pt1CBF	TE_00001734//////17	2336	0.01
Ptritici_repentis_Pt1CBF	TE_00001735//////9	1660	0.0
Ptritici_repentis_Pt1CBF	TE_00001736//////21	8842	0.02
Ptritici_repentis_Pt1CBF	TE_00001737//////8	2305	0.01
Ptritici_repentis_Pt1CBF	TE_00001738//////7	1314	0.0
Ptritici_repentis_Pt1CBF	TE_00001739//////7	6489	0.02
Ptritici_repentis_Pt1CBF	TE_00001740//////54	61680	0.17
Ptritici_repentis_Pt1CBF	TE_00001741//////33	7226	0.02
Ptritici_repentis_Pt1CBF	TE_00001742//////84	116679	0.31
Ptritici_repentis_Pt1CBF	TE_00001743//////95	55411	0.15
Ptritici_repentis_Pt1CBF	TE_00001744//////96	135001	0.36
Ptritici_repentis_Pt1CBF	TE_00001745//////2	3092	0.01
Ptritici_repentis_Pt1CBF	TE_00001746//////56	43228	0.12
Ptritici_repentis_Pt1CBF	TE_00001747//////66	71314	0.19
Ptritici_repentis_Pt1CBF	TE_00001748//////87	147987	0.4
Ptritici_repentis_Pt1CBF	TE_00001749//////71	141286	0.38
Ptritici_repentis_Pt1CBF	TE_00001750//////36	34914	0.09
Ptritici_repentis_Pt1CBF	TE_00001751//////85	12270	0.03
Ptritici_repentis_Pt1CBF	TE_00001752//////23	11311	0.03
Ptritici_repentis_Pt1CBF	TE_00001753//////43	19274	0.05
Ptritici_repentis_Pt1CBF	TE_00001754//////97	99824	0.27
Ptritici_repentis_Pt1CBF	TE_00001755//////89	15943	0.04
Ptritici_repentis_Pt1CBF	TE_00001756//////42	103752	0.28
Ptritici_repentis_Pt1CBF	TE_00001757//////85	28935	0.08
Ptritici_repentis_Pt1CBF	TE_00001758//////74	163801	0.44
Ptritici_repentis_Pt1CBF	TE_00001759//////61	59917	0.16
Ptritici_repentis_Pt1CBF	TE_00001760//////58	81024	0.22
Ptritici_repentis_Pt1CBF	TE_00001761//////45	9447	0.03
Ptritici_repentis_Pt1CBF	TE_00001762//////62	107579	0.29
Ptritici_repentis_Pt1CBF	TE_00001763//////25	21882	0.06
Ptritici_repentis_Pt1CBF	TE_00001764//////76	84204	0.23
Ptritici_repentis_Pt1CBF	TE_00001765//////85	9494	0.03
Ptritici_repentis_Pt1CBF	TE_00001766//////31	3584	0.01
Ptritici_repentis_Pt1CBF	TE_00001767//////141	252426	0.68
Ptritici_repentis_Pt1CBF	TE_00001768//////23	2289	0.01
Ptritici_repentis_Pt1CBF	TE_00001769//////17	2189	0.01
Ptritici_repentis_Pt1CBF	TE_00001770//////16	1344	0.0
Ptritici_repentis_Pt1CBF	TE_00001771//////85	112881	0.3
Ptritici_repentis_Pt1CBF	TE_00001772//////12	1264	0.0
Ptritici_repentis_Pt1CBF	TE_00001773//////31	3907	0.01
Ptritici_repentis_Pt1CBF	TE_00001774//////55	145860	0.39
Ptritici_repentis_Pt1CBF	TE_00001775//////52	16643	0.04
Ptritici_repentis_Pt1CBF	TE_00001776//////40	6271	0.02
Ptritici_repentis_Pt1CBF	TE_00001777//////19	2499	0.01
Ptritici_repentis_Pt1CBF	TE_00001778//////13	1737	0.0
Ptritici_repentis_Pt1CBF	TE_00001779//////12	1375	0.0
Ptritici_repentis_Pt1CBF	TE_00001780//////10	4391	0.01
Ptritici_repentis_Pt1CBF	TE_00001781//////23	3283	0.01
Ptritici_repentis_Pt1CBF	TE_00001782//////87	48810	0.13
Ptritici_repentis_Pt1CBF	TE_00001783//////40	39393	0.11
Ptritici_repentis_Pt1CBF	TE_00001784//////43	126459	0.34
Ptritici_repentis_Pt1CBF	6965	5353552	14.33
